learning_rate,weight_decay,batch_size,max_epochs,conv_channels,dropout_rates,dense_size,rotation_degrees,translation_range,scale_range,loss_name,label_smoothing,val_accuracy,val_loss,best_epoch,training_time,model_size_mb
0.0036281364713374718,5.275427644080805e-06,83,50,"[16, 32, 64]","[0.2, 0.4]",360,28,0.07648297390079971,"[0.8766117649793047, 1.1108711476864197]",cross_entropy_ls,0.12083265939693326,0.9984313725490196,0.5969369863528832,43,353.51234316825867,0.23938751220703125
0.004805158809325481,1.72354680816862e-05,88,44,"[32, 64, 128]","[0.25, 0.5]",325,20,0.08546649874241478,"[0.8471677139437026, 1.0829410280074936]",cross_entropy,0.0,0.9992156862745099,0.0078105817122103,36,339.3054099082947,0.7057304382324219
0.0058939887500085685,2.497919184208959e-05,78,64,"[32, 64, 128]","[0.25, 0.5]",330,27,0.08560635511204283,"[0.8459758461150744, 1.0834637380353618]",cross_entropy,0.0,0.9992156862745099,0.007656448564101833,32,326.3121042251587,0.7084197998046875
0.005892694958449202,1.782934428101794e-05,78,65,"[32, 64, 128]","[0.25, 0.5]",330,20,0.08561376914565248,"[0.8483496947886486, 1.0862986197102453]",cross_entropy,0.0,0.9988235294117647,0.008404030891784608,30,311.9049768447876,0.7084197998046875
0.008162356266193282,2.4882437748139217e-05,88,72,"[32, 64, 128]","[0.25, 0.5]",322,27,0.08162744692312246,"[0.8444796346059402, 1.0787091868194463]",cross_entropy,0.0,0.9980392156862745,0.010431917506150556,48,443.0901470184326,0.7041168212890625
0.006131613431495261,1.9046160813569475e-05,85,68,"[32, 64, 128]","[0.25, 0.5]",68,19,0.07853378914090248,"[0.8203878094650089, 1.0968196103038532]",cross_entropy,0.0,0.9984313725490196,0.008725406490217818,17,198.04030013084412,0.5674972534179688
0.005598014732156937,1.1443176083040584e-05,90,64,"[32, 64, 128]","[0.25, 0.5]",259,26,0.09515139326386655,"[0.8374544095454807, 1.0913812300302368]",cross_entropy_ls,0.06377019495298646,0.9996078431372549,0.35949667727246004,64,486.5488393306732,0.6702308654785156
0.005748668380892852,1.0514258568285433e-05,90,65,"[32, 64, 128]","[0.25, 0.5]",333,22,0.09628997771839301,"[0.8338731714895722, 1.0822343397530065]",cross_entropy_ls,0.064812214071411,0.9984313725490196,0.3649660734569325,55,502.2060983181,0.7100334167480469
0.005083392763413861,1.5776474661926622e-05,97,41,"[32, 64, 128]","[0.25, 0.5]",256,25,0.10128976948652513,"[0.8396408152175736, 1.1732679741970629]",cross_entropy_ls,0.01174041212978661,0.9988235294117647,0.10324411680301031,36,321.26180052757263,0.6686172485351562
0.004071011779129675,2.1515680146364542e-05,88,61,"[32, 64, 128]","[0.25, 0.5]",265,24,0.09373891916043493,"[0.8137176897571328, 1.0740275039142073]",cross_entropy_ls,0.08971473479320016,0.9984313725490196,0.47228198149624995,57,445.44199228286743,0.6734580993652344
